benchmark,initial,dc,first eqsat,all eqsat,first none,first dsrs,all none,all dsrs
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench000_it0.json,167,160,143,143,161,141,161,141
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench001_it1.json,217,217,211,211,213,206,209,205
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench002_it2.json,327,311,319,319,296,288,291,291
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench003_it4.json,430,416,418,413,410,399,408,397
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench004_it5.json,499,497,487,482,483,469,481,465
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench005_it7.json,771,766,743,738,716,687,717,687
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench006_it8.json,897,886,861,856,810,772,794,774
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench007_it10.json,1102,1077,1054,1047,995,942,1003,959
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench008_it11.json,1003,999,955,943,918,851,919,871
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench009_it12.json,1053,1046,1005,991,958,912,941,905
list_list_hard_test_ellisk_2019-02-15T11.26.41/bench010_it15.json,1066,1062,1014,998,965,916,973,926
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench000_it0.json,172,152,154,154,135,124,135,117
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench001_it1.json,216,210,206,202,211,204,210,199
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench002_it2.json,287,278,277,277,263,253,249,239
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench003_it3.json,323,327,313,312,323,313,322,312
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench004_it4.json,425,409,415,415,421,411,411,401
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench005_it5.json,482,482,464,464,467,453,468,454
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench006_it6.json,550,554,536,535,541,526,537,520
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench007_it7.json,652,642,634,632,621,609,621,602
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench008_it8.json,752,748,734,732,710,701,717,700
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench009_it11.json,901,910,879,876,843,819,843,822
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench010_it16.json,838,842,824,823,781,771,771,769
list_list_hard_test_ellisk_2019-02-15T11.31.39/bench011_it18.json,904,894,890,887,838,825,840,827
list_list_hard_test_ellisk_2019-02-15T11.35.48/bench000_it0.json,147,136,117,117,138,108,138,108
list_list_hard_test_ellisk_2019-02-15T11.35.48/bench001_it1.json,213,206,183,183,204,174,204,170
list_list_hard_test_ellisk_2019-02-15T11.35.48/bench002_it2.json,289,290,255,255,282,248,271,238
list_list_hard_test_ellisk_2019-02-15T11.35.48/bench003_it3.json,401,400,349,349,381,330,382,328
list_list_hard_test_ellisk_2019-02-15T11.35.48/bench004_it4.json,491,477,431,431,455,398,456,386
