benchmark,initial,dc,first eqsat,all eqsat,first none,first dsrs,all none,all dsrs
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46/bench000_it0.json,568,521,424,388,384,290,396,246
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46/bench001_it1.json,475,474,399,379,369,311,362,273
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46/bench002_it2.json,439,439,379,355,356,282,328,263
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46/bench003_it3.json,528,533,468,436,433,361,405,343
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.05.46/bench004_it4.json,522,538,470,442,437,383,401,340
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench000_it0.json,601,571,441,417,376,276,412,273
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench001_it1.json,491,491,431,403,354,309,340,294
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench002_it2.json,450,457,386,362,348,294,329,272
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench003_it3.json,434,432,374,352,317,280,309,261
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench004_it4.json,508,509,440,418,372,323,322,294
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench005_it5.json,519,526,455,425,387,352,367,337
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.09.34/bench006_it7.json,528,533,468,442,416,355,394,342
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.13.12/bench000_it0.json,568,540,416,388,369,258,396,249
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.13.12/bench001_it1.json,506,509,414,392,387,317,383,298
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.16.45/bench000_it0.json,568,491,412,388,396,258,407,247
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.16.45/bench001_it1.json,577,583,481,465,407,350,421,333
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.20.13/bench000_it0.json,659,589,495,459,422,315,420,292
physics_scientific_unsolved_4h_ellisk_2019-07-20T18.20.13/bench001_it1.json,464,464,412,388,349,312,361,296
